                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9046,                 2.9607,                 2.2956,                0.00333,                      1,                0.29257,                0.06893,                 1.9678,                 3.9129,                 3.2973,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.5682,                 2.7437,                 1.9457,                0.00333,                      1,                0.46593,                0.23447,                 1.1942,                 3.5685,                 2.0031,             0.00021564,             0.00021564,             0.00021564
                      3,                 1.3206,                  2.431,                 1.7339,                0.00333,                      1,                0.31421,                0.17496,                  1.087,                 3.4129,                 1.8749,             0.00032654,             0.00032654,             0.00032654
                      4,                 1.0449,                 2.1521,                 1.5025,                0.00333,                      1,                0.54714,                0.27027,                 1.1372,                 3.3076,                 1.7991,             0.00043268,             0.00043268,             0.00043268
                      5,                 1.1202,                 1.8593,                   1.49,                0.50977,                      1,                0.81886,                0.50367,                0.81263,                  3.013,                 1.4413,             0.00053406,             0.00053406,             0.00053406
                      6,                 1.0739,                 1.7591,                 1.5369,                 0.7051,                0.60088,                 0.8148,                0.61508,                0.87566,                 2.8572,                 1.4682,              0.0006307,              0.0006307,              0.0006307
                      7,                 1.0577,                 1.6684,                 1.4296,                0.47603,                   0.25,                0.59436,                0.44592,                0.81769,                 2.7969,                 1.4408,             0.00072258,             0.00072258,             0.00072258
                      8,                 1.1658,                  1.683,                 1.6378,                0.90983,                  0.125,                0.23457,                0.16664,                 1.3285,                 3.3235,                 1.9237,             0.00080972,             0.00080972,             0.00080972
                      9,                 1.1439,                  1.604,                 1.5394,                0.55303,                  0.625,                0.66174,                0.35644,                  1.501,                 3.1218,                   2.02,              0.0008921,              0.0008921,              0.0008921
                     10,                 1.0673,                 1.5907,                 1.4466,                0.50225,                    0.5,                0.56692,                0.33663,                 1.2661,                 3.1416,                  1.966,             0.00096972,             0.00096972,             0.00096972
                     11,                  0.994,                    1.5,                 1.3512,                0.98088,                  0.625,                0.77476,                0.53236,                 1.4797,                  2.654,                 2.4006,              0.0010426,              0.0010426,              0.0010426
                     12,                0.99536,                 1.4721,                 1.4518,                0.99688,                   0.75,                0.78673,                0.55638,                 1.5954,                 2.4367,                 2.3164,              0.0011107,              0.0011107,              0.0011107
                     13,                 1.0447,                 1.3858,                 1.4165,                0.84562,                   0.75,                0.84512,                0.49528,                 1.4076,                 2.3474,                 2.2656,              0.0011741,              0.0011741,              0.0011741
                     14,                 1.0309,                 1.4137,                 1.4307,                0.92172,                   0.75,                0.87811,                0.50579,                 1.3619,                    2.2,                  2.311,              0.0012327,              0.0012327,              0.0012327
                     15,                0.92205,                 1.2603,                 1.3182,                0.93743,                  0.625,                 0.8663,                0.56144,                 1.1965,                  2.485,                 1.9304,              0.0012866,              0.0012866,              0.0012866
                     16,                 1.0658,                 1.3579,                 1.4099,                0.77416,                      1,                  0.871,                0.44409,                 1.3912,                 2.1637,                 2.4419,              0.0013357,              0.0013357,              0.0013357
                     17,                0.94704,                 1.2473,                 1.3363,                0.72498,                0.98948,                 0.8911,                0.59359,                  1.265,                  1.914,                 2.5641,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.0247,                 1.2703,                  1.405,                0.84687,                  0.875,                0.96227,                0.55155,                 1.2614,                 2.2886,                 3.7536,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.0918,                 1.3341,                 1.4281,                0.87493,                  0.875,                  0.971,                0.61303,                 1.0904,                 2.0813,                 2.3251,              0.0013268,              0.0013268,              0.0013268
                     20,                0.95549,                 1.2218,                 1.3177,                0.92289,                   0.75,                0.87964,                0.42015,                 1.5332,                 2.5075,                  2.552,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.0592,                 1.3051,                 1.4706,                0.84032,                   0.75,                0.87071,                0.54364,                 1.1863,                 1.9751,                 1.9142,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.0286,                 1.1349,                 1.3804,                0.99735,                  0.875,                0.94885,                0.56345,                 1.2111,                 2.0845,                 2.1593,               0.001208,               0.001208,               0.001208
                     23,                0.89601,                 1.0848,                 1.2994,                 0.7248,                  0.875,                0.82011,                0.52557,                 1.1832,                 2.2838,                 2.0073,              0.0011684,              0.0011684,              0.0011684
                     24,                0.95508,                  1.098,                 1.3597,                0.48712,                      1,                0.71625,                0.40881,                 1.2194,                 2.8638,                 1.9347,              0.0011288,              0.0011288,              0.0011288
                     25,                0.90956,                 1.0885,                 1.2847,                0.75933,                  0.625,                0.74693,                0.42771,                 1.2646,                 2.0053,                 2.1214,              0.0010892,              0.0010892,              0.0010892
                     26,                0.92216,                 1.0418,                 1.2939,                0.51394,                  0.875,                 0.7654,                0.38263,                  1.195,                 1.7782,                 1.9796,              0.0010496,              0.0010496,              0.0010496
                     27,                0.83629,                0.97968,                 1.2645,                0.67658,                  0.875,                0.81611,                0.51325,                0.99431,                 1.5727,                 1.5569,                0.00101,                0.00101,                0.00101
